w1: 200/25000 games, 20s (0.099s/game)
w1: 400/25000 games, 40s (0.100s/game)
w1: 600/25000 games, 64s (0.106s/game)
w1: 800/25000 games, 86s (0.107s/game)
w1: 1000/25000 games, 109s (0.109s/game)
w1: 1200/25000 games, 134s (0.112s/game)
w1: 1400/25000 games, 159s (0.114s/game)
w1: 1600/25000 games, 183s (0.114s/game)
w1: 1800/25000 games, 206s (0.114s/game)
w1: 2000/25000 games, 229s (0.114s/game)
w1: 2200/25000 games, 252s (0.115s/game)
w1: 2400/25000 games, 276s (0.115s/game)
w1: 2600/25000 games, 300s (0.115s/game)
w1: 2800/25000 games, 322s (0.115s/game)
w1: 3000/25000 games, 346s (0.115s/game)
w1: 3200/25000 games, 370s (0.116s/game)
w1: 3400/25000 games, 395s (0.116s/game)
w1: 3600/25000 games, 420s (0.117s/game)
w1: 3800/25000 games, 446s (0.117s/game)
w1: 4000/25000 games, 470s (0.118s/game)
w1: 4200/25000 games, 494s (0.118s/game)
w1: 4400/25000 games, 516s (0.117s/game)
w1: 4600/25000 games, 540s (0.117s/game)
w1: 4800/25000 games, 563s (0.117s/game)
w1: 5000/25000 games, 588s (0.118s/game)
w1: 5200/25000 games, 610s (0.117s/game)
w1: 5400/25000 games, 633s (0.117s/game)
w1: 5600/25000 games, 657s (0.117s/game)
w1: 5800/25000 games, 682s (0.118s/game)
w1: 6000/25000 games, 706s (0.118s/game)
w1: 6200/25000 games, 730s (0.118s/game)
w1: 6400/25000 games, 754s (0.118s/game)
w1: 6600/25000 games, 778s (0.118s/game)
w1: 6800/25000 games, 802s (0.118s/game)
w1: 7000/25000 games, 826s (0.118s/game)
w1: 7200/25000 games, 851s (0.118s/game)
w1: 7400/25000 games, 875s (0.118s/game)
w1: 7600/25000 games, 898s (0.118s/game)
w1: 7800/25000 games, 922s (0.118s/game)
w1: 8000/25000 games, 945s (0.118s/game)
w1: 8200/25000 games, 969s (0.118s/game)
w1: 8400/25000 games, 996s (0.119s/game)
w1: 8600/25000 games, 1023s (0.119s/game)
w1: 8800/25000 games, 1047s (0.119s/game)
w1: 9000/25000 games, 1071s (0.119s/game)
w1: 9200/25000 games, 1096s (0.119s/game)
