w2: 200/25000 games, 24s (0.120s/game)
w2: 400/25000 games, 49s (0.123s/game)
w2: 600/25000 games, 74s (0.124s/game)
w2: 800/25000 games, 99s (0.124s/game)
w2: 1000/25000 games, 123s (0.123s/game)
w2: 1200/25000 games, 147s (0.123s/game)
w2: 1400/25000 games, 171s (0.122s/game)
w2: 1600/25000 games, 196s (0.122s/game)
w2: 1800/25000 games, 219s (0.122s/game)
w2: 2000/25000 games, 243s (0.121s/game)
w2: 2200/25000 games, 267s (0.121s/game)
w2: 2400/25000 games, 290s (0.121s/game)
w2: 2600/25000 games, 314s (0.121s/game)
w2: 2800/25000 games, 338s (0.121s/game)
w2: 3000/25000 games, 362s (0.121s/game)
w2: 3200/25000 games, 386s (0.121s/game)
w2: 3400/25000 games, 409s (0.120s/game)
w2: 3600/25000 games, 433s (0.120s/game)
w2: 3800/25000 games, 457s (0.120s/game)
w2: 4000/25000 games, 483s (0.121s/game)
w2: 4200/25000 games, 506s (0.121s/game)
w2: 4400/25000 games, 531s (0.121s/game)
w2: 4600/25000 games, 554s (0.121s/game)
w2: 4800/25000 games, 581s (0.121s/game)
w2: 5000/25000 games, 605s (0.121s/game)
w2: 5200/25000 games, 628s (0.121s/game)
w2: 5400/25000 games, 655s (0.121s/game)
w2: 5600/25000 games, 679s (0.121s/game)
w2: 5800/25000 games, 703s (0.121s/game)
w2: 6000/25000 games, 726s (0.121s/game)
w2: 6200/25000 games, 752s (0.121s/game)
w2: 6400/25000 games, 776s (0.121s/game)
w2: 6600/25000 games, 800s (0.121s/game)
w2: 6800/25000 games, 824s (0.121s/game)
w2: 7000/25000 games, 848s (0.121s/game)
w2: 7200/25000 games, 871s (0.121s/game)
w2: 7400/25000 games, 894s (0.121s/game)
w2: 7600/25000 games, 918s (0.121s/game)
w2: 7800/25000 games, 942s (0.121s/game)
w2: 8000/25000 games, 966s (0.121s/game)
w2: 8200/25000 games, 989s (0.121s/game)
w2: 8400/25000 games, 1013s (0.121s/game)
w2: 8600/25000 games, 1037s (0.121s/game)
w2: 8800/25000 games, 1060s (0.121s/game)
w2: 9000/25000 games, 1085s (0.121s/game)
w2: 9200/25000 games, 1142s (0.124s/game)
w2: 9400/25000 games, 1166s (0.124s/game)
w2: 9600/25000 games, 1190s (0.124s/game)
w2: 9800/25000 games, 1214s (0.124s/game)
w2: 10000/25000 games, 1238s (0.124s/game)
w2: 10200/25000 games, 1262s (0.124s/game)
w2: 10400/25000 games, 1286s (0.124s/game)
w2: 10600/25000 games, 1310s (0.124s/game)
w2: 10800/25000 games, 1334s (0.123s/game)
w2: 11000/25000 games, 1360s (0.124s/game)
w2: 11200/25000 games, 1384s (0.124s/game)
w2: 11400/25000 games, 1408s (0.124s/game)
w2: 11600/25000 games, 1432s (0.123s/game)
w2: 11800/25000 games, 1456s (0.123s/game)
w2: 12000/25000 games, 1479s (0.123s/game)
w2: 12200/25000 games, 1502s (0.123s/game)
w2: 12400/25000 games, 1525s (0.123s/game)
w2: 12600/25000 games, 1549s (0.123s/game)
w2: 12800/25000 games, 1572s (0.123s/game)
w2: 13000/25000 games, 1596s (0.123s/game)
w2: 13200/25000 games, 1620s (0.123s/game)
w2: 13400/25000 games, 1644s (0.123s/game)
w2: 13600/25000 games, 1667s (0.123s/game)
w2: 13800/25000 games, 1691s (0.123s/game)
w2: 14000/25000 games, 1715s (0.122s/game)
w2: 14200/25000 games, 1738s (0.122s/game)
w2: 14400/25000 games, 1761s (0.122s/game)
w2: 14600/25000 games, 1785s (0.122s/game)
w2: 14800/25000 games, 1808s (0.122s/game)
w2: 15000/25000 games, 1832s (0.122s/game)
w2: 15200/25000 games, 1856s (0.122s/game)
w2: 15400/25000 games, 1881s (0.122s/game)
w2: 15600/25000 games, 1905s (0.122s/game)
w2: 15800/25000 games, 1929s (0.122s/game)
w2: 16000/25000 games, 1952s (0.122s/game)
w2: 16200/25000 games, 1976s (0.122s/game)
w2: 16400/25000 games, 2000s (0.122s/game)
w2: 16600/25000 games, 2024s (0.122s/game)
w2: 16800/25000 games, 2047s (0.122s/game)
w2: 17000/25000 games, 2071s (0.122s/game)
w2: 17200/25000 games, 2095s (0.122s/game)
w2: 17400/25000 games, 2118s (0.122s/game)
w2: 17600/25000 games, 2142s (0.122s/game)
w2: 17800/25000 games, 2166s (0.122s/game)
w2: 18000/25000 games, 2190s (0.122s/game)
w2: 18200/25000 games, 2214s (0.122s/game)
w2: 18400/25000 games, 2238s (0.122s/game)
w2: 18600/25000 games, 2262s (0.122s/game)
w2: 18800/25000 games, 2286s (0.122s/game)
w2: 19000/25000 games, 2309s (0.122s/game)
w2: 19200/25000 games, 2333s (0.122s/game)
w2: 19400/25000 games, 2358s (0.122s/game)
w2: 19600/25000 games, 2381s (0.121s/game)
w2: 19800/25000 games, 2407s (0.122s/game)
w2: 20000/25000 games, 2430s (0.122s/game)
w2: 20200/25000 games, 2454s (0.121s/game)
w2: 20400/25000 games, 2477s (0.121s/game)
w2: 20600/25000 games, 2501s (0.121s/game)
w2: 20800/25000 games, 2524s (0.121s/game)
w2: 21000/25000 games, 2547s (0.121s/game)
w2: 21200/25000 games, 2571s (0.121s/game)
w2: 21400/25000 games, 2595s (0.121s/game)
w2: 21600/25000 games, 2619s (0.121s/game)
w2: 21800/25000 games, 2643s (0.121s/game)
w2: 22000/25000 games, 2666s (0.121s/game)
w2: 22200/25000 games, 2690s (0.121s/game)
w2: 22400/25000 games, 2715s (0.121s/game)
w2: 22600/25000 games, 2739s (0.121s/game)
w2: 22800/25000 games, 2797s (0.123s/game)
w2: 23000/25000 games, 2820s (0.123s/game)
w2: 23200/25000 games, 2843s (0.123s/game)
w2: 23400/25000 games, 2866s (0.122s/game)
w2: 23600/25000 games, 2890s (0.122s/game)
w2: 23800/25000 games, 2914s (0.122s/game)
w2: 24000/25000 games, 2938s (0.122s/game)
w2: 24200/25000 games, 2961s (0.122s/game)
w2: 24400/25000 games, 2985s (0.122s/game)
w2: 24600/25000 games, 3008s (0.122s/game)
w2: 24800/25000 games, 3033s (0.122s/game)
w2 DONE: 24939 games -> /home/jun/kaggle-ptcg-ai-battle/workspace/exp032_valuescale/data2/rows_w2.csv
