w0: 87/3000 games 6009 recs agree=0.806 [1.55s/g]
w0: 172/3000 games 12084 recs agree=0.798 [1.64s/g]
w0: 258/3000 games 18149 recs agree=0.801 [1.65s/g]
w0: 345/3000 games 24262 recs agree=0.801 [1.65s/g]
w0: 432/3000 games 30268 recs agree=0.801 [1.65s/g]
w0: 520/3000 games 36342 recs agree=0.803 [1.64s/g]
w0: 606/3000 games 42362 recs agree=0.802 [1.65s/g]
w0: 685/3000 games 48391 recs agree=0.801 [1.68s/g]
w0: 770/3000 games 54394 recs agree=0.801 [1.68s/g]
w0: 857/3000 games 60419 recs agree=0.802 [1.67s/g]
w0: 946/3000 games 66499 recs agree=0.803 [1.66s/g]
w0: 1028/3000 games 72528 recs agree=0.802 [1.67s/g]
w0: 1113/3000 games 79674 recs agree=0.801 [1.71s/g]
w0: 1200/3000 games 85697 recs agree=0.802 [1.70s/g]
w0: 1280/3000 games 91722 recs agree=0.801 [1.71s/g]
w0: 1367/3000 games 97853 recs agree=0.801 [1.71s/g]
w0: 1452/3000 games 103918 recs agree=0.802 [1.71s/g]
w0: 1534/3000 games 109989 recs agree=0.802 [1.71s/g]
w0: 1618/3000 games 116082 recs agree=0.801 [1.72s/g]
w0: 1708/3000 games 122088 recs agree=0.801 [1.71s/g]
w0: 1790/3000 games 128134 recs agree=0.801 [1.71s/g]
w0: 1878/3000 games 134194 recs agree=0.801 [1.71s/g]
w0: 1967/3000 games 140260 recs agree=0.801 [1.70s/g]
w0: 2054/3000 games 146339 recs agree=0.802 [1.70s/g]
w0: 2141/3000 games 152397 recs agree=0.802 [1.70s/g]
w0: 2223/3000 games 158439 recs agree=0.802 [1.71s/g]
w0: 2307/3000 games 164498 recs agree=0.802 [1.71s/g]
w0: 2394/3000 games 170511 recs agree=0.802 [1.70s/g]
w0: 2478/3000 games 176521 recs agree=0.802 [1.70s/g]
w0: 2563/3000 games 182600 recs agree=0.802 [1.70s/g]
w0: 2645/3000 games 188601 recs agree=0.802 [1.70s/g]
w0: 2731/3000 games 194647 recs agree=0.802 [1.70s/g]
w0: 2815/3000 games 200722 recs agree=0.802 [1.70s/g]
w0: 2901/3000 games 206732 recs agree=0.802 [1.70s/g]
w0: 2988/3000 games 212752 recs agree=0.801 [1.70s/g]
w0 DONE 3000 games; stats={'recorded': 213547, 'agree': 171141, 'win_archaludon': 84, 'loss_dragapult': 509, 'loss_archaludon': 490, 'win_mirror_revenge': 319, 'win_ex_lucario': 444, 'loss_ex_lucario': 164, 'win_crustle': 511, 'loss_mirror_revenge': 284, 'win_dragapult': 86, 'loss_crustle': 109, 'draws': 3}
